ts,alpha,beta,gamma
2025-08-29T09:10:37.088019,0.600000,0.200000,0.200000
2025-08-29T10:16:34.173096,0.600000,0.200000,0.200000
2025-08-29T10:45:01.169332,0.709256,0.148892,0.141851
2025-08-29T11:21:02.736460,0.838296,0.082454,0.079250
2025-08-29T11:25:29.128432,1.000000,0.000000,0.000000
2025-08-29T11:25:45.509284,1.000000,0.000000,0.000000
2025-08-29T12:25:10.761189,1.000000,0.000000,0.000000
2025-08-29T12:26:23.313067,1.000000,0.000000,0.000000
2025-08-29T12:28:21.244162,1.000000,0.000000,0.000000
2025-08-29T12:34:33.264310,0.943917,0.037353,0.018730
2025-08-29T12:39:46.923836,0.902618,0.060815,0.036567
2025-08-29T12:40:52.024307,1.000000,0.000000,0.000000
2025-08-29T12:48:21.855019,1.000000,0.000000,0.000000
2025-08-29T13:04:47.524871,1.000000,0.000000,0.000000
2025-08-29T13:07:17.938179,0.846417,0.073316,0.080267
2025-08-29T13:09:42.802617,0.846417,0.073316,0.080267
2025-08-29T13:10:40.267797,0.846417,0.073316,0.080267
2025-08-29T13:11:28.816213,0.830229,0.091280,0.078491
2025-08-29T13:22:57.464349,0.830229,0.091280,0.078491
2025-08-29T13:23:36.706329,0.722330,0.131843,0.145826
2025-08-29T13:24:14.611576,0.842749,0.052429,0.104822
2025-08-29T13:25:34.091413,0.821033,0.077184,0.101783
2025-08-29T13:25:44.328548,0.800990,0.100694,0.098316
2025-08-29T13:39:53.687402,0.698763,0.139386,0.161852
2025-08-29T13:40:40.182145,0.698763,0.139386,0.161852
2025-08-29T13:41:40.770015,0.698763,0.139386,0.161852
2025-08-29T13:43:31.343022,0.698763,0.139386,0.161852
2025-08-29T13:44:48.808852,0.823237,0.082568,0.094195
2025-08-29T13:57:12.180917,0.716988,0.124563,0.158449
2025-08-29T13:58:02.565357,0.716988,0.124563,0.158449
2025-08-29T14:17:22.358324,0.632922,0.165876,0.201203
